character,frequency_hz,gain_db_abs,gain_db_rel_1k
Standard,25398.4,-1.675469,-1.675478
Standard,26908.7,-1.942412,-1.942421
Standard,28508.8,-2.258841,-2.258850
Standard,30000,-2.588012,-2.588020
Full,10,-2.671048,-2.671620
Full,10.4284,-2.526274,-2.526845
Full,11.0485,-2.341079,-2.341650
Full,11.7055,-2.169485,-2.170056
Full,12.4016,-2.009571,-2.010142
Full,13.139,-1.859551,-1.860122
Full,13.9203,-1.718507,-1.719078
Full,14.748,-1.586706,-1.587277
Full,15.625,-1.462523,-1.463094
Full,16.5541,-1.343109,-1.343681
Full,17.5385,-1.233656,-1.234227
Full,18.5814,-1.140394,-1.140965
Full,19.6863,-1.058112,-1.058683
Full,20.8569,-0.974093,-0.974664
Full,22.0971,-0.889464,-0.890035
Full,23.411,-0.810802,-0.811373
Full,24.8031,-0.738075,-0.738646
Full,26.278,-0.671093,-0.671664
Full,27.8406,-0.609479,-0.610051
Full,29.4961,-0.553052,-0.553623
Full,31.25,-0.501257,-0.501829
Full,33.1082,-0.454047,-0.454618
Full,35.0769,-0.411064,-0.411635
Full,37.1627,-0.371991,-0.372562
Full,39.3725,-0.336850,-0.337422
Full,41.7137,-0.304738,-0.305309
Full,44.1942,-0.275983,-0.276554
Full,46.8221,-0.249638,-0.250210
Full,49.6063,-0.225531,-0.226102
Full,52.556,-0.200760,-0.201331
Full,55.6812,-0.167034,-0.167605
Full,58.9921,-0.142323,-0.142894
Full,62.5,-0.127094,-0.127665
Full,66.2164,-0.113115,-0.113686
Full,70.1539,-0.100738,-0.101309
Full,74.3254,-0.089630,-0.090201
Full,78.7451,-0.079725,-0.080297
Full,83.4275,-0.070828,-0.071399
Full,88.3883,-0.062961,-0.063532
Full,93.6442,-0.055821,-0.056393
Full,99.2126,-0.049061,-0.049632
Full,105.112,-0.043767,-0.044338
Full,111.362,-0.038726,-0.039297
Full,117.984,-0.034236,-0.034807
Full,125,-0.030210,-0.030781
Full,132.433,-0.026629,-0.027200
Full,140.308,-0.023345,-0.023916
Full,148.651,-0.020587,-0.021158
Full,157.49,-0.017938,-0.018509
Full,166.855,-0.015710,-0.016281
Full,176.777,-0.013683,-0.014254
Full,187.288,-0.011927,-0.012498
Full,198.425,-0.010285,-0.010856
Full,210.224,-0.008806,-0.009377
Full,222.725,-0.007592,-0.008163
Full,235.969,-0.006503,-0.007074
Full,250,-0.005398,-0.005969
Full,264.866,-0.004536,-0.005107
Full,280.616,-0.003778,-0.004350
Full,297.302,-0.003070,-0.003641
Full,314.98,-0.002340,-0.002911
Full,333.71,-0.001874,-0.002445
Full,353.553,-0.001385,-0.001956
Full,374.577,-0.000926,-0.001497
Full,396.85,-0.000574,-0.001146
Full,420.448,-0.000223,-0.000794
Full,445.449,0.000013,-0.000558
Full,471.937,0.000256,-0.000315
Full,500,0.000496,-0.000075
Full,529.732,0.000619,0.000048
Full,561.231,0.000747,0.000176
Full,594.604,0.000933,0.000362
Full,629.961,0.000886,0.000315
Full,667.42,0.000990,0.000419
Full,707.107,0.001043,0.000472
Full,749.154,0.001020,0.000449
Full,793.701,0.000956,0.000384
Full,840.896,0.000947,0.000376
Full,890.899,0.000881,0.000310
Full,943.874,0.000688,0.000117
Full,1000,0.000571,0.000000
Full,1059.46,0.000346,-0.000225
Full,1122.46,0.000132,-0.000439
Full,1189.21,-0.000105,-0.000676
Full,1259.92,-0.000450,-0.001021
Full,1334.84,-0.000773,-0.001344
Full,1414.21,-0.001156,-0.001727
Full,1498.31,-0.001658,-0.002229
Full,1587.4,-0.002220,-0.002791
Full,1681.79,-0.002742,-0.003313
Full,1781.8,-0.003394,-0.003965
Full,1887.75,-0.004119,-0.004690
Full,2000,-0.005036,-0.005607
Full,2118.93,-0.006007,-0.006578
Full,2244.92,-0.007116,-0.007687
Full,2378.41,-0.008258,-0.008829
Full,2519.84,-0.009695,-0.010266
Full,2669.68,-0.011211,-0.011782
Full,2828.43,-0.012947,-0.013518
Full,2996.61,-0.014925,-0.015497
Full,3174.8,-0.017161,-0.017732
Full,3363.59,-0.019648,-0.020219
Full,3563.59,-0.022361,-0.022932
Full,3775.5,-0.025541,-0.026113
Full,4000,-0.029047,-0.029618
Full,4237.85,-0.033015,-0.033586
Full,4489.85,-0.037482,-0.038054
Full,4756.83,-0.042496,-0.043067
Full,5039.68,-0.048088,-0.048659
Full,5339.36,-0.054466,-0.055038
Full,5656.85,-0.061574,-0.062145
Full,5993.23,-0.069589,-0.070160
Full,6349.6,-0.078617,-0.079188
Full,6727.17,-0.088769,-0.089340
Full,7127.19,-0.100287,-0.100858
Full,7550.99,-0.113195,-0.113766
Full,8000,-0.127846,-0.128417
Full,8475.7,-0.144390,-0.144961
Full,8979.7,-0.162978,-0.163549
Full,9513.66,-0.184039,-0.184610
Full,10079.4,-0.207909,-0.208480
Full,10678.7,-0.235017,-0.235588
Full,11313.7,-0.265625,-0.266196
Full,11986.5,-0.300532,-0.301103
Full,12699.2,-0.340221,-0.340792
Full,13454.3,-0.385282,-0.385853
Full,14254.4,-0.436803,-0.437375
Full,15102,-0.495771,-0.496342
Full,16000,-0.563339,-0.563910
Full,16951.4,-0.640974,-0.641546
Full,17959.4,-0.730450,-0.731021
Full,19027.3,-0.833739,-0.834310
Full,20158.7,-0.953610,-0.954182
Full,21357.4,-1.093640,-1.094211
Full,22627.4,-1.257353,-1.257924
Full,23972.9,-1.447965,-1.448537
Full,25398.4,-1.674511,-1.675082
Full,26908.7,-1.941399,-1.941971
Full,28508.8,-2.257767,-2.258338
Full,30000,-2.586875,-2.587446
